證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
1808,潤隆,176800,172,18183248,103.00,103.50,102.00,103.50,+,0.50,103.00,4,103.50,24,7.10
1809,中釉,2115617,1053,36207568,17.30,17.55,16.80,17.10,-,0.20,17.05,9,17.10,3,0.00
1810,和成,457906,193,7818102,17.20,17.20,17.00,17.15,+,0.05,17.10,3,17.15,16,0.00
1817,凱撒衛,6269,16,229036,36.50,36.50,36.40,36.50, ,0.00,36.45,1,36.50,2,12.09
1903,士紙,110563,113,5896435,53.20,53.70,53.00,53.40,-,0.30,53.40,2,53.60,6,205.38
1904,正隆,382731,406,11081562,28.90,29.05,28.85,28.85,-,0.10,28.85,58,28.90,3,41.21
1905,華紙,1021170,663,23157605,22.65,22.85,22.50,22.60, ,0.00,22.55,57,22.60,10,0.00
1906,寶隆,22545,187,343796,15.20,15.30,15.20,15.20, ,0.00,15.20,3,15.25,7,80.00
1907,永豐餘,683904,551,20802091,30.20,30.60,30.10,30.25,+,0.15,30.20,51,30.25,9,39.29
1909,榮成,418202,251,5851202,13.90,14.05,13.90,14.00,+,0.10,13.95,136,14.00,8,0.00
2002,中鋼,13385064,5694,336793827,25.00,25.30,24.95,25.25,+,0.15,25.25,41,25.30,897,0.00
2002A,中鋼特,6388,12,279788,43.90,43.90,43.75,43.85, ,0.00,43.70,2,43.90,5,0.00
2006,東和鋼鐵,1280947,1033,93390792,72.80,73.10,72.50,73.00,+,0.20,72.90,21,73.00,57,12.65
2007,燁興,2218659,964,24288572,11.20,11.20,10.75,10.80,-,0.20,10.80,104,10.85,2,0.00
2008,高興昌,31425,23,684544,21.70,22.00,21.70,21.75, ,0.00,21.70,19,21.80,2,9.02
2009,第一銅,572904,481,17953398,31.40,31.65,31.00,31.15,-,0.15,31.10,6,31.20,2,283.18
2010,春源,363585,247,6472333,17.80,17.90,17.70,17.90,+,0.10,17.85,9,17.90,71,15.84
2012,春雨,18323,45,421514,23.00,23.05,22.95,23.00, ,0.00,23.00,1,23.20,1,27.71
2013,中鋼構,7409,52,395546,53.10,53.40,53.10,53.10, ,0.00,53.00,3,53.20,1,22.50
2014,中鴻,3536483,1757,85046477,23.90,24.30,23.70,24.15,+,0.40,24.10,165,24.15,41,0.00
2015,豐興,112581,125,7672520,68.50,68.50,67.70,68.50,+,0.30,67.70,5,68.50,10,16.35
2017,官田鋼,560225,239,8302275,14.90,15.00,14.70,14.80,-,0.05,14.75,9,14.80,5,0.00
2020,美亞,524430,383,17064925,32.45,32.80,32.35,32.50,+,0.15,32.45,13,32.50,31,10.19
2022,聚亨,326572,242,3747533,11.45,11.55,11.35,11.50,+,0.05,11.45,9,11.50,23,0.00
2023,燁輝,802217,522,12589537,15.75,15.75,15.60,15.75,+,0.10,15.70,24,15.75,5,0.00
2024,志聯,15587,53,320855,20.60,20.65,20.50,20.65,+,0.05,20.35,2,20.85,1,0.00
2025,千興,1002630,278,7484253,7.44,7.52,7.35,7.46,+,0.01,7.44,4,7.46,1,4.60
2027,大成鋼,1135449,866,42251655,37.20,37.35,37.05,37.30,+,0.10,37.25,41,37.30,16,14.63
2028,威致,74639,67,1815642,24.15,24.60,24.10,24.30,+,0.20,24.25,2,24.35,1,21.32
2029,盛餘,165140,125,4700189,28.10,28.55,28.10,28.50,+,0.40,28.45,6,28.50,19,17.81
2030,彰源,143126,191,2701585,18.85,18.95,18.75,18.95,+,0.15,18.85,4,18.95,12,61.13
2031,新光鋼,942648,802,52360854,56.30,56.30,55.30,55.50,-,0.40,55.40,10,55.50,18,11.99
2032,新鋼,186784,135,3157862,16.90,17.00,16.75,16.95,+,0.20,16.95,48,17.00,54,0.00
2033,佳大,96110,65,1578059,16.60,16.60,16.30,16.35,-,0.10,16.35,4,16.40,1,0.00
2034,允強,307403,185,8103579,26.35,26.50,26.30,26.45,+,0.10,26.40,1,26.45,14,0.00
2038,海光,246594,169,5014972,20.40,20.50,20.20,20.35,+,0.10,20.35,1,20.40,3,37.00
2049,上銀,630245,727,135466922,214.50,216.50,213.00,216.50,+,2.00,216.00,107,216.50,5,35.43
2059,川湖,1388074,1899,1387826741,1005.00,1010.00,984.00,1000.00,+,1.00,1000.00,1,1005.00,11,33.81
2062,橋椿,269507,185,6860125,25.10,25.70,25.05,25.60,+,0.70,25.60,84,25.65,9,22.26
2069,運錩,99464,54,1619801,16.30,16.40,16.25,16.25,+,0.05,16.25,18,16.35,1,0.00
